iter	MultiClassOneVsAll
477	0.1707813262
478	0.1707585549
479	0.1707354439
480	0.1707088443
481	0.1706805554
482	0.170648896
483	0.1706224296
484	0.1705988589
485	0.1705798415
486	0.1705484385
487	0.1705267992
488	0.1704929326
489	0.1704759331
490	0.1704586338
491	0.1704350342
492	0.1704097301
493	0.1703811895
494	0.1703674879
495	0.1703473332
496	0.1703327004
497	0.170291964
498	0.1702491068
499	0.170235632
500	0.1702044358
501	0.1701876301
502	0.1701631818
503	0.170145144
504	0.1701236778
505	0.1700968699
506	0.1700745166
507	0.1700430349
508	0.1700210059
509	0.1700037266
510	0.1699909767
511	0.1699589573
512	0.1699412869
513	0.16992525
514	0.169886531
515	0.1698575055
516	0.1698406006
517	0.1698124038
518	0.1697847413
519	0.1697586311
520	0.1697391346
521	0.1697276899
522	0.1697140742
523	0.1696947879
524	0.1696688027
525	0.1696495531
526	0.1696383078
527	0.1696157068
528	0.1695908945
529	0.1695683605
530	0.1695570607
531	0.1695332173
532	0.1695124507
533	0.1694939274
534	0.1694662588
535	0.1694534512
536	0.1694319384
537	0.1694192236
538	0.1694044375
539	0.1693804818
540	0.1693525945
541	0.1693349308
542	0.1693168217
543	0.169292587
544	0.1692605206
545	0.1692466156
546	0.1692283291
547	0.1692089985
548	0.1691872226
549	0.169171129
550	0.1691482603
551	0.1691274601
552	0.1691123764
553	0.169088381
554	0.1690678406
555	0.1690460373
556	0.169028134
557	0.1690099542
558	0.1689896832
559	0.1689719082
560	0.1689540133
561	0.1689340834
562	0.1689127494
563	0.1688899359
564	0.1688596932
565	0.1688488406
566	0.1688386897
567	0.1688214782
568	0.1688030625
569	0.1687866816
570	0.1687693148
571	0.1687540123
572	0.1687374488
573	0.1687242621
574	0.1687063651
575	0.1686842923
576	0.1686786069
577	0.1686525803
578	0.168639553
579	0.1686254464
580	0.168613237
581	0.1685914636
582	0.1685823174
583	0.1685618106
584	0.1685345636
585	0.1685161601
586	0.1684983036
587	0.168486931
588	0.168477217
589	0.1684617966
590	0.1684469854
591	0.1684257985
592	0.1684081596
593	0.1684026636
594	0.1683970182
595	0.1683701645
596	0.1683476478
597	0.1683264629
598	0.1683194712
599	0.1683060148
600	0.1682870148
601	0.1682707397
602	0.168252119
603	0.1682365282
604	0.1682234136
605	0.1682086564
606	0.168191991
607	0.168171705
608	0.1681537944
609	0.1681355131
610	0.1681254944
611	0.1681055017
612	0.1680967063
613	0.1680834294
614	0.1680738311
615	0.1680462801
616	0.1680358557
617	0.168028314
618	0.1680166199
619	0.1680019017
620	0.1679907422
621	0.167966381
622	0.1679407081
623	0.1679266736
624	0.1679129885
625	0.1679036415
626	0.1678820809
627	0.1678681007
628	0.1678587109
629	0.1678384216
630	0.1678186459
631	0.16780261
632	0.1677811198
633	0.1677681343
634	0.1677532007
635	0.167733044
636	0.1677148653
637	0.1676943635
638	0.1676724155
639	0.1676601777
640	0.1676447775
641	0.1676317217
642	0.1676219651
643	0.1676027744
644	0.1675850403
645	0.1675691047
646	0.1675451867
647	0.167533386
648	0.1675044773
649	0.1674916437
650	0.1674804885
651	0.1674556066
